"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20067","Scroll up","chromium","2025-12-22","passed","2025-12-22","","scrollDown.spec.ts","",""
"","35141","Loggin with correct user","firefox","2025-12-22","passed","2025-12-22","","Login.correctUser.spec.ts","",""
"","6676","Brands","firefox","2025-12-22","passed","2025-12-22","","brands.spec.ts","",""
"","5731","Contact Us form submission","chromium","2025-12-22","passed","2025-12-22","","contactUsForm.spec.ts","",""
"","2250","Register with an existing account","chromium","2025-12-22","passed","2025-12-22","","RegisterExistingAcc.spec.ts","",""
"","60245","Scroll down","chromium","2025-12-22","broken","2025-12-22","","scrollDown.spec.ts","",""
"","6380","Logout test","firefox","2025-12-22","passed","2025-12-22","","LogoutTest.spec.ts","",""
"","22707","Scroll up","firefox","2025-12-22","passed","2025-12-22","","scrollDown.spec.ts","",""
"","14265","Remove product from cart","firefox","2025-12-22","passed","2025-12-22","","removeFromCart.spec.ts","",""
"","6569","Create account","chromium","2025-12-22","passed","2025-12-22","","createAccount.spec.ts","",""
"","2124","Supscription","chromium","2025-12-22","passed","2025-12-22","","supscription.spec.ts","",""
"","1515","get started link","chromium","2025-12-22","passed","2025-12-22","","example.spec.ts","",""
"","7105","Login with innexistent user","firefox","2025-12-22","passed","2025-12-22","","Login.wrongUser.spec.ts","",""
"","9133","Search for products","chromium","2025-12-22","passed","2025-12-22","","searchProductsAndCart.spec.ts","",""
"","16937","Download Invoice","chromium","2025-12-22","passed","2025-12-22","","downloadInvoice.spec.ts","",""
"","5999","Navigate to All Products","firefox","2025-12-22","passed","2025-12-22","","allProducts.spec.ts","",""
"","6413","Search for products","firefox","2025-12-22","passed","2025-12-22","","searchProducts.spec.ts","",""
"","2680","has title","firefox","2025-12-22","passed","2025-12-22","","example.spec.ts","",""
"","2296","Cart Supscription","chromium","2025-12-22","passed","2025-12-22","","supscriptionCart.spec.ts","",""
"","32037","Register an account then place an order","firefox","2025-12-22","passed","2025-12-22","","registerPlaceOrder.spec.ts","",""
"","39472","Place order then register","firefox","2025-12-22","passed","2025-12-22","","placeOrderRegister.spec.ts","",""
"","3883","Navigate to Test Cases","firefox","2025-12-22","passed","2025-12-22","","testCases.spec.ts","",""
"","2478","Navigate to Test Cases","chromium","2025-12-22","passed","2025-12-22","","testCases.spec.ts","",""
"","12999","Add products to cart","firefox","2025-12-22","passed","2025-12-22","","addProducts.spec.ts","",""
"","11434","Register an account then place an order","chromium","2025-12-22","passed","2025-12-22","","registerPlaceOrder.spec.ts","",""
"","8574","Remove product from cart","chromium","2025-12-22","passed","2025-12-22","","removeFromCart.spec.ts","",""
"","10223","Loggin with correct user","chromium","2025-12-22","passed","2025-12-22","","Login.correctUser.spec.ts","",""
"","11136","Add products to cart","chromium","2025-12-22","passed","2025-12-22","","addProducts.spec.ts","",""
"","25932","Download Invoice","firefox","2025-12-22","passed","2025-12-22","","downloadInvoice.spec.ts","",""
"","8603","Add products from recommended","chromium","2025-12-22","passed","2025-12-22","","addProductFromRecommended.spec.ts","",""
"","3786","Quantity Test","chromium","2025-12-22","passed","2025-12-22","","quantityTest.spec.ts","",""
"","19340","Scroll up","chromium","2025-12-22","passed","2025-12-22","","scrollUp.spec.ts","",""
"","9505","Add Review","chromium","2025-12-22","passed","2025-12-22","","addReview.spec.ts","",""
"","22489","Create account","firefox","2025-12-22","passed","2025-12-22","","createAccount.spec.ts","",""
"","7812","Product category","firefox","2025-12-22","passed","2025-12-22","","categoryProduct.spec.ts","",""
"","3935","Logout test","chromium","2025-12-22","passed","2025-12-22","","LogoutTest.spec.ts","",""
"","22092","Login then place an order","firefox","2025-12-22","passed","2025-12-22","","loginPlaceOrder.spec.ts","",""
